LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
RP11-403A21.3,0,41,49,0,0,0,0,4,2,1,20,23,43,0,0,0,1,3428.219895,8187,1,0,5579,0,0,0,59,49,100,8,92,0,27,27,1,7656.697353,10290,8.5,31694.38958,478.5,1,3915.422299,9140,1,2328.762007,7350.5,0,0,0,1,2328.762007,7350.5,58,66,7,5,60,246,28
RP11-403B2.5,0,1,27,0,0,0,0,0,0,0,1,3,4,0,0,0,1,516.944925,3217.5,0,0,19962,0,0,0,4,46,4,0,4,0,3,3,1,429.80007,1537,0,0,0,1,429.80007,1537,1,449.1169667,1269,0,0,0,1,449.1169667,1269,75,24,0,1,61,95,17
RP11-403B2.6,0,0,28,0,0,133,0,0,0,0,1,3,4,0,0,0,1,516.944925,3217.5,0,0,19962,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,0,0,61,29,5
RP11-403B2.7,0,3,50,0,0,0,0,1,0,0,12,21,33,0,0,0,1,625.3267333,3748,0,0,19962,0,0,0,6,54,4,0,4,0,3,3,1,429.80007,1537,0,0,0,1,429.80007,1537,1,449.1169667,1269,0,0,0,1,449.1169667,1269,83,27,9,13,54,109,24
RP11-403D15.2,0,53,6,0,0,0,0,3,1,2,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-403H13.1,0,76,10,0,0,0,0,9,0,2,9,45,54,0,0,0,1,1072.216517,4950,0,0,19962,0,0,0,18,39,84,0,84,0,15,15,1,5202.450891,13538,0,0,0,1,5202.450891,13538,1,1012.274896,4457,0,0,0,1,1012.274896,4457,16,49,1,8,30,151,3
RP11-403I13.5,0,46,119,0,0,0,0,36,3,4,9,17,26,0,0,0,3,10677.73313,17331,0,0,19962,7,4.127,0,24,21,102,0,102,0,23,23,2,9479.607727,15582,0,0,0,2,9479.607727,15582,3,12757.08375,17095,0,0,0,3,12757.08375,17095,11,23,6,10,57,166,41
RP11-403I13.7,0,5,14,0,0,0,0,0,0,1,2,4,6,0,0,0,2,5523.262786,9790,0,0,19962,4,6.37,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
RP11-403N16.2,0,51,10,0,0,0,0,0,0,1,9,14,23,0,0,0,1,459.21404,1995,1,0,1995,0,0,0,5,29,69,0,69,0,0,0,2,6033.835017,13971,0,0,0,2,6033.835017,13971,0,0,0,0,0,0,0,0,0,15,41,0,1,5,120,0
RP11-403N16.3,0,49,26,0,0,0,0,2,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29,69,0,69,0,0,0,2,6033.835017,13971,0,0,0,2,6033.835017,13971,0,0,0,0,0,0,0,0,0,15,41,0,0,5,120,0
RP11-403P17.2,0,50,58,0,0,0,0,9,1,2,24,29,53,0,0,0,1,13514.89373,16163,0,0,19962,2,8.7475,0,50,75,202,24,178,0,50,50,2,17956.45881,16523,3,27155.92429,387,2,15391.5231,16143,2,14286.63823,15883,0,0,0,2,14286.63823,15883,88,91,22,26,108,503,93
RP11-403P17.3,0,36,38,0,0,315,0,32,4,0,39,32,71,3,26190.16083,374,2,15700.57002,16150,2,0,15529,1,8.5,12,41,57,177,19,158,12,41,53,2,17593.04587,16595,3,26805.57277,387,2,14275.77795,15995,2,19443.10035,16947,3,26582.02959,387,2,15981.80133,15875,77,90,35,31,181,455,181
RP11-404E16.1,1,49,43,0,0,0,0,19,1,3,33,28,61,0,0,0,1,7496.360741,14021,0,0,19962,4,5.218571,0,34,105,220,7,213,0,34,34,1,12527.09554,11790,3,87640.6809,406,1,12130.86713,11790,2,7535.567208,14112,0,0,0,2,7535.567208,14112,149,100,33,28,173,547,173
RP11-404F10.2,0,59,33,0,0,0,0,1,0,3,58,21,79,0,0,0,1,1092.60805,2840,0,0,19962,3,7.866667,0,4,2,1,0,1,0,0,0,3,3760.9836,11982,0,0,0,3,3760.9836,11982,0,0,0,0,0,0,0,0,0,4,0,2,0,17,13,0
RP11-404H14.1,0,50,68,0,0,231,0,17,2,2,59,30,89,0,0,0,1,5197.212507,9753.5,0,0,19962,4,4.992,0,44,6,12,0,12,0,1,1,4,41275.67852,15913,0,0,0,4,41275.67852,15913,5,7464.4019,15645,0,0,0,5,7464.4019,15645,16,14,0,0,106,40,0
