LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
RP5-1115A15.1,0,48,43,0,0,0,0,42,1,4,46,52,98,4,31084.62,845,1,3010.401466,14139,1,0,23672,5,6.475,1,88,48,259,30,229,1,56,57,8,96498.02549,23564,27,154692.9978,1125,2,15025.06428,17514,2,8323.956841,17128.5,4,31084.62,853,2,7107.738199,16760,115,122,20,20,0,17,0
RP5-1119A7.10,1,73,59,0,0,309,0,26,1,4,32,31,63,0,0,0,1,3519.170704,15218.5,0,0,23954,0,0,0,56,10,93,14,79,0,24,24,2,17043.36743,19024,12.5,86536.94949,1065,2,6487.380286,18367,1,5941.778408,18248.5,0,0,0,1,5941.778408,18248.5,27,21,6,4,3,3,3
RP5-1119A7.14,1,90,61,0,0,0,0,59,2,3,62,49,111,8,62306.07283,831,2,7950.059654,17870,0,0,23954,3,7.303333,12,54,47,295,27,268,12,51,63,6,32678.41881,22600,9,75374.80323,853,4,11640.31208,20067,6,35806.54192,22539,8,74131.37019,841,6,14672.686,22198,120,94,33,26,5,21,5
RP5-1119A7.17,0,64,122,0,0,0,0,28,1,0,24,28,52,0,0,0,1,4503.253844,17900.5,0,0,23954,7,7.862857,0,34,5,26,0,26,0,24,24,1,5574.962642,18240,0,0,0,1,5574.962642,18240,1,5941.778408,18248.5,0,0,0,1,5941.778408,18248.5,9,14,5,4,3,3,3
RP5-1119D9.4,2,59,44,0,0,0,0,12,1,3,53,109,162,0,0,0,1,2733.625568,11476,0,0,23954,15,6.703684,0,34,3,14,2,12,0,0,0,3,6245.311782,12973,4.5,48020.3487,938.5,2,3550.14811,12973,0,0,0,0,0,0,0,0,0,10,8,0,0,1,1,0
RP5-1119O21.2,0,62,97,0,0,0,0,25,1,2,10,18,28,0,0,0,1,3817.167119,10335.5,0,0,23954,2,8.026667,0,16,1,4,0,4,0,0,0,2,6576.2572,19400.5,0,0,0,2,6576.2572,19400.5,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0
RP5-1120P11.1,2,29,56,2,0,0,0,48,1,2,136,90,226,9,70472.95889,1091,2,7988.669246,18689,0,0,23954,4,8.025,19,69,57,250,39,211,19,58,77,7,49319.02105,23106,9,80728.6437,1102,3,18871.70302,19600,9,62732.32196,23506,10,86259.71111,1103,6,25321.65363,18951,169,119,72,44,3,10,2
RP5-1120P11.3,1,32,59,0,0,0,0,51,1,3,86,52,138,9,77005.37488,1094,3,13462.3792,19997,2,0,21140,6,7.815,17,30,77,268,39,229,17,27,44,6,45781.39444,22742,9,79551.79553,1102,2,17488.0416,19708,9,68849.26987,23559,10,86497.97021,1103,9,32548.15164,18951,191,136,51,29,3,17,3
RP5-1121A15.3,0,95,36,0,0,345,0,30,1,3,45,45,90,0,0,0,1,3210.678494,16608,1,0,19233,13,8.187308,0,67,6,29,0,29,0,29,29,1,3306.12992,16533,0,0,0,1,3306.12992,16533,1,3306.12992,16354,0,0,0,1,3306.12992,16354,15,16,15,16,6,6,6
RP5-1121E10.2,0,33,34,0,0,0,0,3,1,0,11,24,35,0,0,0,1,2632.49896,12571,0,0,23954,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
